rating,comment
5,Top
5,Ottimi prodotti
5,Tutto perfetto
5,Prodotti freschi!!
5,Consiglio
5,Servizio eccellente!
5,Qualità superiore
5,Sono molto soddisfatto!
5,Non deludono mai
5,Acquisto consigliato
5,Molto buoni!
5,Tornerò a comprare
5,Prezzi competitivi
5,Spedizione veloce
5,Assolutamente fantastici!
5,Più che soddisfatto
5,Qualità al top
5,Ottimo rapporto qualità-prezzo
5,Sempre una garanzia
5,Freschezza garantita
5,Davvero soddisfatto!
5,Mai avuto problemi
5,Una scoperta fantastica!
5,Ottimo servizio clienti
5,Esperienza d'acquisto perfetta
5,Prodotti eccellenti!
5,Qualità impeccabile
5,Confezionamento impeccabile
5,Super consigliati
5,Molto più di quanto mi aspettassi!
5,Top qualità!
5,Spedizione rapidissima
5,Ottima esperienza
5,Assistenza eccellente
5,Freschissimi e buonissimi
5,Sempre una certezza
5,Prodotti di qualità
5,Merce perfetta
5,Consigliatissimo!
5,Grande qualità
5,Perfetto in ogni aspetto
5,Sono soddisfatta
5,Sempre freschi
5,Bellissima esperienza d’acquisto
5,Prodotti ottimi e servizio rapido
5,Tutto ok, come sempre
5,Una sicurezza
5,Servizio impeccabile
5,Ottimo imballaggio
5,Tornerò ad acquistare
5,Tutto perfetto, grazie
5,Eccellente!
5,Ben confezionati
5,Molto freschi e ben imballati
5,Spedizione lampo
5,Prodotti di altissima qualità
5,Servizio molto curato
5,Ottima qualità!
5,Rapidissimi
5,Servizio eccellente
5,Freschezza top!
5,Prodotti come da descrizione
5,Eccellenti in tutto
5,Sempre i migliori
5,Rapidi e precisi
5,Benissimo!
5,Super
5,Soddisfattissimo!
5,Prodotti di qualità superiore
5,Ottimi prezzi e qualità
5,Servizio e prodotti al top
5,Perfetti come sempre
5,Tutto al top!
5,Bravi!
5,Non c'è altro da dire, perfetti!
5,Freschi e buoni
5,Super top
5,Spedizione rapida, prodotti eccellenti
5,Non deludono mai!
5,Prodotti fantastici!
5,La qualità si vede!
5,Tutto molto buono
5,Molto soddisfatta!
5,Il migliore sito di sempre
5,Ottima scelta
5,Semplicemente perfetti
5,Rapidissimi e molto seri
5,Sempre impeccabili
5,Molto soddisfatti!
5,Tutto ottimo
5,Acquisto super
5,Affidabili e puntuali
5,Consigliato!
5,Sempre freschi e ottimi
5,Ottima qualità e spedizione veloce
5,Tutto perfetto come sempre
5,Super consigliato!
5,Sempre freschissimi
5,Affidabilità e qualità
5,Mai deluso!
4,Top
4,Ottimi prodotti
4,Tutto perfetto
4,Prodotti freschi!!
4,Consiglio
4,Servizio eccellente!
4,Qualità superiore
4,Sono molto soddisfatto!
4,Non deludono mai
4,Acquisto consigliato
4,Molto buoni!
4,Tornerò a comprare
4,Prezzi competitivi
4,Spedizione veloce
4,Assolutamente fantastici!
4,Più che soddisfatto
4,Qualità al top
4,Ottimo rapporto qualità-prezzo
4,Sempre una garanzia
4,Freschezza garantita
4,Davvero soddisfatto!
4,Mai avuto problemi
4,Una scoperta fantastica!
4,Ottimo servizio clienti
4,Esperienza d'acquisto perfetta
4,Prodotti eccellenti!
4,Qualità impeccabile
4,Confezionamento impeccabile
4,Super consigliati
4,Molto più di quanto mi aspettassi!
4,Top qualità!
4,Spedizione rapidissima
4,Ottima esperienza
4,Assistenza eccellente
4,Freschissimi e buonissimi
4,Sempre una certezza
4,Prodotti di qualità
4,Merce perfetta
4,Consigliatissimo!
4,Grande qualità
4,Perfetto in ogni aspetto
4,Sono soddisfatta
4,Sempre freschi
4,Bellissima esperienza d’acquisto
4,Prodotti ottimi e servizio rapido
4,Tutto ok, come sempre
4,Una sicurezza
4,Servizio impeccabile
4,Ottimo imballaggio
4,Tornerò ad acquistare
4,Tutto perfetto, grazie
4,Eccellente!
4,Ben confezionati
4,Molto freschi e ben imballati
4,Spedizione lampo
4,Prodotti di altissima qualità
4,Servizio molto curato
4,Ottima qualità!
4,Rapidissimi
4,Servizio eccellente
4,Freschezza top!
4,Prodotti come da descrizione
4,Eccellenti in tutto
4,Sempre i migliori
4,Rapidi e precisi
4,Benissimo!
4,Super
4,Soddisfattissimo!
4,Prodotti di qualità superiore
4,Ottimi prezzi e qualità
4,Servizio e prodotti al top
4,Perfetti come sempre
4,Tutto al top!
4,Bravi!
4,Non c'è altro da dire, perfetti!
4,Freschi e buoni
4,Super top
4,Spedizione rapida, prodotti eccellenti
4,Non deludono mai!
4,Prodotti fantastici!
4,La qualità si vede!
4,Tutto molto buono
4,Molto soddisfatta!
4,Il migliore sito di sempre
4,Ottima scelta
4,Semplicemente perfetti
4,Rapidissimi e molto seri
4,Sempre impeccabili
4,Molto soddisfatti!
4,Tutto ottimo
4,Acquisto super
4,Affidabili e puntuali
4,Consigliato!
4,Sempre freschi e ottimi
4,Ottima qualità e spedizione veloce
4,Tutto perfetto come sempre
4,Super consigliato!
4,Sempre freschissimi
4,Affidabilità e qualità
4,Mai deluso!
3,Tutto ok
3,Lenta la spedizione
3,Poca scelta
3,Prodotti buoni ma non eccellenti
3,Tutto nella media
3,Ok, ma potrebbero migliorare
3,Qualità discreta
3,Non male
3,Spedizione con qualche ritardo
3,Prodotti nella norma
3,Niente di speciale
3,Servizio accettabile
3,Va bene così
3,Soddisfacente
3,Buoni ma migliorabili
3,Qualità media
3,Non male ma non il massimo
3,Un po' costosi per la qualità
3,Ok, ma servizio migliorabile
3,Prodotti buoni, ma attesa lunga
3,Senza infamia e senza lode
3,Tutto nella norma
3,Qualità discreta, nulla di più
3,Servizio ok, niente di eccezionale
3,Accettabile
3,Va bene
3,Buono ma con margine di miglioramento
3,Soddisfatto a metà
3,Normale
3,Servizio e prodotti ok
2,Prodotti non freschi
2,Non mi sono trovat* bene
2,Deluso dall'acquisto
2,Qualità scadente
2,Molto deluso
2,Prodotti vecchi
2,Non soddisfatto
2,Esperienza negativa
2,Lunga attesa
2,Non vale il prezzo
2,Poco freschi
2,Assistenza pessima
2,Prodotti di bassa qualità
2,Deludente
2,Mai più
2,Non consiglio
2,Esperienza deludente
2,Non freschi
2,Scarsa qualità
2,Tempi lunghi di spedizione
2,Pessima esperienza
2,Qualità non conforme
2,Insoddisfacente
2,Sconsigliato
2,Prodotti non conformi
2,Merce rovinata
2,Molto scarsa la qualità
2,Non mi ha soddisfatto
2,Molto deludente
2,Non acquisterò più
1,Prodotti non freschi
1,Non mi sono trovat* bene
1,Deluso dall'acquisto
1,Qualità scadente
1,Molto deluso
1,Prodotti vecchi
1,Non soddisfatto
1,Esperienza negativa
1,Lunga attesa
1,Non vale il prezzo
1,Poco freschi
1,Assistenza pessima
1,Prodotti di bassa qualità
1,Deludente
1,Mai più
1,Non consiglio
1,Esperienza deludente
1,Non freschi
1,Scarsa qualità
1,Tempi lunghi di spedizione
1,Pessima esperienza
1,Qualità non conforme
1,Insoddisfacente
1,Sconsigliato
1,Prodotti non conformi
1,Merce rovinata
1,Molto scarsa la qualità
1,Non mi ha soddisfatto
1,Molto deludente
1,Non acquisterò più
